Time_index,Time,Strain,Temperature
20090605000000,2009-06-05 00:00:00,,
20090605040000,2009-06-05 04:00:00,,
20090605080000,2009-06-05 08:00:00,,
20090605120000,2009-06-05 12:00:00,,
20090605160000,2009-06-05 16:00:00,,
20090605200000,2009-06-05 20:00:00,,
20090606000000,2009-06-06 00:00:00,,
20090606040000,2009-06-06 04:00:00,,
20090606080000,2009-06-06 08:00:00,,
20090606120000,2009-06-06 12:00:00,,
20090606160000,2009-06-06 16:00:00,,
20090606200000,2009-06-06 20:00:00,,
20090607000000,2009-06-07 00:00:00,,
20090607040000,2009-06-07 04:00:00,,
20090607080000,2009-06-07 08:00:00,,
20090607120000,2009-06-07 12:00:00,,
20090607160000,2009-06-07 16:00:00,,
20090607200000,2009-06-07 20:00:00,,
20090608000000,2009-06-08 00:00:00,,
20090608040000,2009-06-08 04:00:00,,
20090608080000,2009-06-08 08:00:00,,
20090608120000,2009-06-08 12:00:00,,
20090608160000,2009-06-08 16:00:00,,
20090608200000,2009-06-08 20:00:00,,
20090609000000,2009-06-09 00:00:00,,
20090609040000,2009-06-09 04:00:00,,
20090609080000,2009-06-09 08:00:00,,
20090609120000,2009-06-09 12:00:00,,
20090609160000,2009-06-09 16:00:00,,
20090609200000,2009-06-09 20:00:00,,
20090610000000,2009-06-10 00:00:00,,
20090610040000,2009-06-10 04:00:00,,
20090610080000,2009-06-10 08:00:00,,
20090610120000,2009-06-10 12:00:00,,
20090610160000,2009-06-10 16:00:00,,
20090610200000,2009-06-10 20:00:00,,
20090611000000,2009-06-11 00:00:00,,
20090611040000,2009-06-11 04:00:00,,
20090611080000,2009-06-11 08:00:00,,
20090611120000,2009-06-11 12:00:00,,
20090611160000,2009-06-11 16:00:00,,
20090611200000,2009-06-11 20:00:00,,
20090612000000,2009-06-12 00:00:00,,
20090612040000,2009-06-12 04:00:00,,
20090612080000,2009-06-12 08:00:00,,
20090612120000,2009-06-12 12:00:00,,
20090612160000,2009-06-12 16:00:00,,
20090612200000,2009-06-12 20:00:00,,
20090613000000,2009-06-13 00:00:00,,
20090613040000,2009-06-13 04:00:00,,
20090613080000,2009-06-13 08:00:00,,
20090613120000,2009-06-13 12:00:00,,
20090613160000,2009-06-13 16:00:00,,
20090613200000,2009-06-13 20:00:00,,
20090614000000,2009-06-14 00:00:00,,
20090614040000,2009-06-14 04:00:00,,
20090614080000,2009-06-14 08:00:00,,
20090614120000,2009-06-14 12:00:00,,
20090614160000,2009-06-14 16:00:00,,
20090614200000,2009-06-14 20:00:00,,
20090615000000,2009-06-15 00:00:00,,
20090615040000,2009-06-15 04:00:00,,
20090615080000,2009-06-15 08:00:00,,
20090615120000,2009-06-15 12:00:00,,
20090615160000,2009-06-15 16:00:00,,
20090615200000,2009-06-15 20:00:00,,
20090616000000,2009-06-16 00:00:00,,
20090616040000,2009-06-16 04:00:00,,
20090616080000,2009-06-16 08:00:00,,
20090616120000,2009-06-16 12:00:00,,
20090616160000,2009-06-16 16:00:00,,
20090616200000,2009-06-16 20:00:00,,
20090617000000,2009-06-17 00:00:00,,
20090617040000,2009-06-17 04:00:00,,
20090617080000,2009-06-17 08:00:00,,
20090617120000,2009-06-17 12:00:00,,
20090617160000,2009-06-17 16:00:00,,
20090617200000,2009-06-17 20:00:00,,
20090618000000,2009-06-18 00:00:00,,
20090618040000,2009-06-18 04:00:00,,
20090618080000,2009-06-18 08:00:00,,
20090618120000,2009-06-18 12:00:00,,
20090618160000,2009-06-18 16:00:00,,
20090618200000,2009-06-18 20:00:00,,
20090619000000,2009-06-19 00:00:00,,
20090619040000,2009-06-19 04:00:00,,
20090619080000,2009-06-19 08:00:00,,
20090619120000,2009-06-19 12:00:00,,
20090619160000,2009-06-19 16:00:00,,
20090619200000,2009-06-19 20:00:00,,
20090620000000,2009-06-20 00:00:00,,
20090620040000,2009-06-20 04:00:00,,
20090620080000,2009-06-20 08:00:00,,
20090620120000,2009-06-20 12:00:00,,
20090620160000,2009-06-20 16:00:00,,
20090620200000,2009-06-20 20:00:00,,
20090621000000,2009-06-21 00:00:00,,
20090621040000,2009-06-21 04:00:00,,
20090621080000,2009-06-21 08:00:00,,
20090621120000,2009-06-21 12:00:00,,
20090621160000,2009-06-21 16:00:00,,
20090621200000,2009-06-21 20:00:00,,
20090622000000,2009-06-22 00:00:00,,
20090622040000,2009-06-22 04:00:00,,
20090622080000,2009-06-22 08:00:00,,
20090622120000,2009-06-22 12:00:00,,
20090622160000,2009-06-22 16:00:00,,
20090622200000,2009-06-22 20:00:00,,
20090623000000,2009-06-23 00:00:00,,
20090623040000,2009-06-23 04:00:00,,
20090623080000,2009-06-23 08:00:00,,
20090623120000,2009-06-23 12:00:00,,
20090623160000,2009-06-23 16:00:00,,
20090623200000,2009-06-23 20:00:00,,
20090624000000,2009-06-24 00:00:00,,
20090624040000,2009-06-24 04:00:00,,
20090624080000,2009-06-24 08:00:00,,
20090624120000,2009-06-24 12:00:00,,
20090624160000,2009-06-24 16:00:00,,
20090624200000,2009-06-24 20:00:00,,
20090625000000,2009-06-25 00:00:00,,
20090625040000,2009-06-25 04:00:00,,
20090625080000,2009-06-25 08:00:00,,
20090625120000,2009-06-25 12:00:00,,
20090625160000,2009-06-25 16:00:00,,
20090625200000,2009-06-25 20:00:00,,
20090626000000,2009-06-26 00:00:00,,
20090626040000,2009-06-26 04:00:00,,
20090626080000,2009-06-26 08:00:00,,
20090626120000,2009-06-26 12:00:00,,
20090626160000,2009-06-26 16:00:00,,
20090626200000,2009-06-26 20:00:00,,
20090627000000,2009-06-27 00:00:00,,
20090627040000,2009-06-27 04:00:00,,
20090627080000,2009-06-27 08:00:00,,
20090627120000,2009-06-27 12:00:00,,
20090627160000,2009-06-27 16:00:00,,
20090627200000,2009-06-27 20:00:00,,
20090628000000,2009-06-28 00:00:00,,
20090628040000,2009-06-28 04:00:00,,
20090628080000,2009-06-28 08:00:00,,
20090628120000,2009-06-28 12:00:00,,
20090628160000,2009-06-28 16:00:00,,
20090628200000,2009-06-28 20:00:00,,
20090629000000,2009-06-29 00:00:00,,
20090629040000,2009-06-29 04:00:00,,
20090629080000,2009-06-29 08:00:00,,
20090629120000,2009-06-29 12:00:00,,
20090629160000,2009-06-29 16:00:00,,
20090629200000,2009-06-29 20:00:00,,
20090630000000,2009-06-30 00:00:00,,
20090630040000,2009-06-30 04:00:00,,
20090630080000,2009-06-30 08:00:00,,
20090630120000,2009-06-30 12:00:00,,
20090630160000,2009-06-30 16:00:00,,
20090630200000,2009-06-30 20:00:00,,
20090701000000,2009-07-01 00:00:00,,
20090701040000,2009-07-01 04:00:00,,
20090701080000,2009-07-01 08:00:00,,
20090701120000,2009-07-01 12:00:00,,
20090701160000,2009-07-01 16:00:00,,
20090701200000,2009-07-01 20:00:00,,
20090702000000,2009-07-02 00:00:00,,
20090702040000,2009-07-02 04:00:00,,
20090702080000,2009-07-02 08:00:00,,
20090702120000,2009-07-02 12:00:00,,
20090702160000,2009-07-02 16:00:00,,
20090702200000,2009-07-02 20:00:00,,
20090703000000,2009-07-03 00:00:00,,
20090703040000,2009-07-03 04:00:00,,
20090703080000,2009-07-03 08:00:00,,
20090703120000,2009-07-03 12:00:00,,
20090703160000,2009-07-03 16:00:00,,
20090703200000,2009-07-03 20:00:00,,
20090704000000,2009-07-04 00:00:00,,
20090704040000,2009-07-04 04:00:00,,
20090704080000,2009-07-04 08:00:00,,
20090704120000,2009-07-04 12:00:00,,
20090704160000,2009-07-04 16:00:00,,
20090704200000,2009-07-04 20:00:00,,
20090705000000,2009-07-05 00:00:00,,
20090705040000,2009-07-05 04:00:00,,
20090705080000,2009-07-05 08:00:00,,
20090705120000,2009-07-05 12:00:00,,
20090705160000,2009-07-05 16:00:00,,
20090705200000,2009-07-05 20:00:00,,
20090706000000,2009-07-06 00:00:00,,
20090706040000,2009-07-06 04:00:00,,
20090706080000,2009-07-06 08:00:00,,
20090706120000,2009-07-06 12:00:00,,
20090706160000,2009-07-06 16:00:00,,
20090706200000,2009-07-06 20:00:00,,
20090707000000,2009-07-07 00:00:00,,
20090707040000,2009-07-07 04:00:00,,
20090707080000,2009-07-07 08:00:00,,
20090707120000,2009-07-07 12:00:00,,
20090707160000,2009-07-07 16:00:00,,
20090707200000,2009-07-07 20:00:00,,
20090708000000,2009-07-08 00:00:00,,
20090708040000,2009-07-08 04:00:00,,
20090708080000,2009-07-08 08:00:00,,
20090708120000,2009-07-08 12:00:00,,
20090708160000,2009-07-08 16:00:00,,
20090708200000,2009-07-08 20:00:00,,
20090709000000,2009-07-09 00:00:00,,
20090709040000,2009-07-09 04:00:00,,
20090709080000,2009-07-09 08:00:00,,
20090709120000,2009-07-09 12:00:00,,
20090709160000,2009-07-09 16:00:00,,
20090709200000,2009-07-09 20:00:00,,
20090710000000,2009-07-10 00:00:00,,
20090710040000,2009-07-10 04:00:00,,
20090710080000,2009-07-10 08:00:00,,
20090710120000,2009-07-10 12:00:00,,
20090710160000,2009-07-10 16:00:00,,
20090710200000,2009-07-10 20:00:00,,
20090711000000,2009-07-11 00:00:00,,
20090711040000,2009-07-11 04:00:00,,
20090711080000,2009-07-11 08:00:00,,
20090711120000,2009-07-11 12:00:00,,
20090711160000,2009-07-11 16:00:00,,
20090711200000,2009-07-11 20:00:00,,
20090712000000,2009-07-12 00:00:00,,
20090712040000,2009-07-12 04:00:00,,
20090712080000,2009-07-12 08:00:00,,
20090712120000,2009-07-12 12:00:00,,
20090712160000,2009-07-12 16:00:00,,
20090712200000,2009-07-12 20:00:00,,
20090713000000,2009-07-13 00:00:00,,
20090713040000,2009-07-13 04:00:00,,
20090713080000,2009-07-13 08:00:00,,
20090713120000,2009-07-13 12:00:00,,
20090713160000,2009-07-13 16:00:00,,
20090713200000,2009-07-13 20:00:00,,
20090714000000,2009-07-14 00:00:00,,
20090714040000,2009-07-14 04:00:00,,
20090714080000,2009-07-14 08:00:00,,
20090714120000,2009-07-14 12:00:00,,
20090714160000,2009-07-14 16:00:00,,
20090714200000,2009-07-14 20:00:00,,
20090715000000,2009-07-15 00:00:00,,
20090715040000,2009-07-15 04:00:00,,
20090715080000,2009-07-15 08:00:00,,
20090715120000,2009-07-15 12:00:00,,
20090715160000,2009-07-15 16:00:00,,
20090715200000,2009-07-15 20:00:00,,
20090716000000,2009-07-16 00:00:00,,
20090716040000,2009-07-16 04:00:00,,
20090716080000,2009-07-16 08:00:00,,
20090716120000,2009-07-16 12:00:00,,
20090716160000,2009-07-16 16:00:00,,
20090716200000,2009-07-16 20:00:00,,
20090717000000,2009-07-17 00:00:00,,
20090717040000,2009-07-17 04:00:00,,
20090717080000,2009-07-17 08:00:00,,
20090717120000,2009-07-17 12:00:00,,
20090717160000,2009-07-17 16:00:00,,
20090717200000,2009-07-17 20:00:00,,
20090718000000,2009-07-18 00:00:00,,
20090718040000,2009-07-18 04:00:00,,
20090718080000,2009-07-18 08:00:00,,
20090718120000,2009-07-18 12:00:00,,
20090718160000,2009-07-18 16:00:00,,
20090718200000,2009-07-18 20:00:00,,
20090719000000,2009-07-19 00:00:00,,
20090719040000,2009-07-19 04:00:00,,
20090719080000,2009-07-19 08:00:00,,
20090719120000,2009-07-19 12:00:00,,
20090719160000,2009-07-19 16:00:00,,
20090719200000,2009-07-19 20:00:00,,
20090720000000,2009-07-20 00:00:00,,
20090720040000,2009-07-20 04:00:00,,
20090720080000,2009-07-20 08:00:00,,
20090720120000,2009-07-20 12:00:00,,
